DIRECTORIO;P424;P4030;P4030S1;P4030S1A1;P4030S5;P4030S3;P4030S4;P4030S4A1;P4030S2;DIA_REF;REGION;CLASE;F_EXP
1000138;1; ;1;3;1;1;1;2;1;1;2;1;211,2362179
1000139;1; ;1;2;1;1;1;2;1;1;2;1;314,930267
1000140;2; ;1;2;1;1;1;2;1;1;2;1;231,7508438
1000142;2; ;1;2;1;1;1;3;1;1;4;1;345,9062752
1000143;1; ;1;3;1;1;1;3;1;1;1;1;178,0940126
1000144;1; ;1;2;1;1;1;3;1;1;2;1;45,06969809
1000145;2; ;1;2;1;1;1;3;1;7;5;1;889,2734912
1000146;1; ;1;2;1;1;1;3;1;7;2;1;30,33570564
1000147;3; ;1;2;1;1;1;3;2;2;3;1;211,2002461
1000148;2; ;1;2;1;1;1;3;1;2;3;1;396,3827016
1000149;1; ;1;2;1;1;1;7;1;2;1;1;119,7899272
1000150;1; ;1;3;1;1;1;3;1;2;4;1;305,7675723
1000151;2; ;1;2;1;1;1;3;1;4;5;1;348,3134432
1000152;2; ;1;2;1;1;1;3;1;2;1;1;99,99009725
1000153;2; ;1;2;1;1;1;2;1;2;2;1;261,6403681
1000154;1; ;1;2;1;1;1;3;1;2;3;1;315,3306291
1000155;1; ;1;2;1;1;1;3;1;2;3;1;409,3346023
1000157;2; ;1;2;1;1;1;2;1;2;3;1;310,7244129
1000159;1; ;1;2;1;1;1;2;1;2;3;1;113,6479523
1000160;1; ;1;1;1;1;1;3;1;2;1;1;225,4660128
1000161;1; ;1;1;2;1;1;3;2;2;1;1;214,367077
1000162;1; ;1;1;1;1;1;3;1;2;1;1;125,3026043
1000163;2; ;1;3;1;1;1;7;1;2;5;1;336,5500017
1000164;1; ;1;3;1;1;1;2;1;2;2;1;311,7040743
1000165;1; ;1;2;1;1;1;3;1;2;1;1;81,17872643
1000166;1; ;1;2;1;1;1;3;1;2;1;1;94,98384695
1000167;1; ;1;1;1;1;1;3;1;2;1;1;228,8644883
1000170;1; ;1;1;1;2;1;3;1;2;1;1;214,367077
1000171;2; ;1;4;1;1;1;3;1;2;1;1;115,249479
1000172;2; ;1;2;1;1;1;3;1;2;2;1;180,7630633
1000173;1; ;1;1;1;1;1;3;1;2;1;1;247,8139446
1000174;2; ;1;2;1;1;1;3;1;2;2;1;207,4290272
